insight_id,category,kol_tier,kol_is_investigator,region,novelty_score,n_corroborating_notes,days_since_captured,sentiment,has_compliance_flag,insight_char_length,aligned_to_strategic_priority,selected_for_review
HIST-00270,GUIDELINES_PRACTICE_PATTERNS,3,1,US-East,0.475,2,350,1,0,168,0,0
HIST-00271,PATIENT_SELECTION_POSITIONING,2,0,US-East,0.167,4,328,-1,0,173,0,0
HIST-00272,UNMET_NEED,3,0,US-West,0.39,9,91,0,0,214,0,0
HIST-00273,GUIDELINES_PRACTICE_PATTERNS,1,1,APAC,0.356,5,360,-1,1,112,0,1
HIST-00274,SAFETY_TOLERABILITY,2,0,US-Central,0.169,2,253,0,0,234,1,0
HIST-00275,EFFICACY_REAL_WORLD,1,0,US-East,0.581,6,280,1,0,158,0,0
HIST-00276,EFFICACY_REAL_WORLD,3,1,APAC,0.159,3,23,-1,0,71,0,0
HIST-00277,DOSING_ADMINISTRATION,3,0,APAC,0.267,6,212,-1,0,156,0,0
HIST-00278,DATA_GAP_EVIDENCE_NEED,1,0,EMEA,0.131,6,375,0,0,171,1,0
HIST-00279,GUIDELINES_PRACTICE_PATTERNS,2,1,US-Central,0.434,4,231,0,0,163,1,0
HIST-00280,DATA_GAP_EVIDENCE_NEED,2,0,US-Central,0.245,3,212,-1,0,255,1,0
HIST-00281,DOSING_ADMINISTRATION,1,1,US-West,0.133,2,387,-1,0,152,0,0
HIST-00282,UNMET_NEED,2,0,US-East,0.403,0,92,-1,0,140,0,0
HIST-00283,CLINICAL_TRIAL_EXPERIENCE,2,1,EMEA,0.243,5,382,-1,0,82,0,0
HIST-00284,GUIDELINES_PRACTICE_PATTERNS,3,0,EMEA,0.366,1,73,0,0,271,0,0
HIST-00285,PATIENT_EXPERIENCE_ADHERENCE,3,0,EMEA,0.211,2,164,0,0,240,0,0
HIST-00286,COMPETITIVE_LANDSCAPE,2,0,US-Central,0.377,6,244,-1,0,275,1,0
HIST-00287,DIAGNOSTIC_MONITORING,2,0,EMEA,0.163,3,155,-1,0,99,0,0
HIST-00288,EFFICACY_REAL_WORLD,2,1,US-East,0.292,5,16,-1,0,128,0,0
HIST-00289,UNMET_NEED,3,1,US-East,0.552,3,94,1,0,178,1,0
HIST-00290,PATIENT_SELECTION_POSITIONING,2,1,EMEA,0.345,0,41,1,0,297,1,1
HIST-00291,PATIENT_SELECTION_POSITIONING,2,0,APAC,0.224,2,316,0,0,198,1,0
HIST-00292,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-East,0.446,1,141,-1,0,246,1,0
HIST-00293,DOSING_ADMINISTRATION,1,1,US-West,0.108,4,186,0,0,132,0,0
HIST-00294,SAFETY_TOLERABILITY,3,0,US-Central,0.452,6,206,-1,0,229,0,0
HIST-00295,UNMET_NEED,1,1,EMEA,0.238,1,192,1,1,167,1,0
HIST-00296,PATIENT_SELECTION_POSITIONING,2,0,US-West,0.159,6,266,0,0,149,0,0
HIST-00297,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-East,0.432,4,228,0,0,145,0,0
HIST-00298,GUIDELINES_PRACTICE_PATTERNS,3,0,US-Central,0.537,1,93,-1,0,219,1,1
HIST-00299,DATA_GAP_EVIDENCE_NEED,1,0,APAC,0.499,7,330,1,0,157,1,1
HIST-00300,PATIENT_SELECTION_POSITIONING,1,1,APAC,0.233,9,339,1,0,304,0,0
HIST-00301,UNMET_NEED,2,0,US-West,0.472,0,223,0,0,290,0,0
HIST-00302,DIAGNOSTIC_MONITORING,2,0,US-East,0.21,2,19,1,0,204,0,0
HIST-00303,SAFETY_TOLERABILITY,1,1,US-Central,0.512,10,173,0,0,196,0,0
HIST-00304,GUIDELINES_PRACTICE_PATTERNS,3,0,US-Central,0.224,3,206,0,0,135,0,0
HIST-00305,SAFETY_TOLERABILITY,2,0,US-East,0.134,2,13,1,0,169,0,0
HIST-00306,COMPETITIVE_LANDSCAPE,2,0,US-West,0.03,2,272,0,0,269,1,0
HIST-00307,GUIDELINES_PRACTICE_PATTERNS,2,1,US-East,0.467,3,252,0,0,205,0,0
HIST-00308,GUIDELINES_PRACTICE_PATTERNS,3,0,US-West,0.212,0,187,0,1,307,1,0
HIST-00309,UNMET_NEED,1,1,US-Central,0.058,3,6,-1,0,243,1,0
HIST-00310,ACCESS_REIMBURSEMENT,3,0,US-Central,0.192,1,279,0,0,151,1,0
HIST-00311,DATA_GAP_EVIDENCE_NEED,2,0,US-West,0.39,0,181,0,0,212,0,0
HIST-00312,DATA_GAP_EVIDENCE_NEED,3,0,US-West,0.349,6,119,1,0,303,0,0
HIST-00313,DATA_GAP_EVIDENCE_NEED,3,0,US-Central,0.483,3,171,0,0,182,1,0
HIST-00314,DOSING_ADMINISTRATION,1,0,APAC,0.582,0,294,1,0,244,0,0
HIST-00315,PATIENT_EXPERIENCE_ADHERENCE,3,0,EMEA,0.331,3,302,-1,0,277,0,1
HIST-00316,PATIENT_EXPERIENCE_ADHERENCE,1,1,APAC,0.234,2,211,-1,0,290,0,0
HIST-00317,ACCESS_REIMBURSEMENT,2,0,EMEA,0.54,0,246,0,0,182,1,0
HIST-00318,UNMET_NEED,1,0,US-Central,0.425,0,313,0,1,233,0,0
HIST-00319,DIAGNOSTIC_MONITORING,2,1,EMEA,0.111,5,314,-1,0,234,0,0
HIST-00320,EFFICACY_REAL_WORLD,2,0,US-West,0.331,1,93,-1,0,248,0,0
HIST-00321,GUIDELINES_PRACTICE_PATTERNS,2,1,US-West,0.261,4,163,-1,0,108,0,1
HIST-00322,EFFICACY_REAL_WORLD,3,0,US-East,0.299,3,342,0,0,226,1,0
HIST-00323,PATIENT_EXPERIENCE_ADHERENCE,1,1,EMEA,0.342,3,130,-1,0,173,0,1
HIST-00324,PATIENT_SELECTION_POSITIONING,2,1,US-West,0.294,2,274,-1,0,210,0,0
HIST-00325,ACCESS_REIMBURSEMENT,3,0,US-West,0.212,3,286,-1,0,152,1,0
HIST-00326,COMPETITIVE_LANDSCAPE,3,1,EMEA,0.105,3,356,-1,0,175,1,0
HIST-00327,SAFETY_TOLERABILITY,1,1,EMEA,0.095,9,275,0,0,220,1,0
HIST-00328,ACCESS_REIMBURSEMENT,2,0,US-East,0.186,2,210,-1,0,78,1,0
HIST-00329,CLINICAL_TRIAL_EXPERIENCE,3,0,US-Central,0.17,3,62,0,0,222,1,0
HIST-00330,GUIDELINES_PRACTICE_PATTERNS,3,1,US-East,0.469,3,276,1,1,174,1,0
HIST-00331,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-Central,0.156,0,398,1,0,300,1,0
HIST-00332,PATIENT_SELECTION_POSITIONING,3,0,US-East,0.373,2,75,0,0,243,0,0
HIST-00333,GUIDELINES_PRACTICE_PATTERNS,1,1,US-East,0.306,3,38,0,0,258,0,0
HIST-00334,CLINICAL_TRIAL_EXPERIENCE,2,0,US-West,0.125,0,82,0,0,244,0,0
HIST-00335,EFFICACY_REAL_WORLD,1,0,US-West,0.015,7,89,1,1,266,0,0
HIST-00336,DATA_GAP_EVIDENCE_NEED,2,0,EMEA,0.36,3,134,-1,0,248,1,0
HIST-00337,GUIDELINES_PRACTICE_PATTERNS,3,0,US-East,0.253,5,212,-1,0,173,0,0
HIST-00338,DOSING_ADMINISTRATION,3,0,EMEA,0.203,4,36,-1,0,132,0,0
HIST-00339,ACCESS_REIMBURSEMENT,3,0,APAC,0.19,5,292,-1,0,166,1,0
HIST-00340,SAFETY_TOLERABILITY,1,0,APAC,0.376,3,62,-1,0,313,0,0
HIST-00341,SAFETY_TOLERABILITY,3,0,EMEA,0.05,7,89,0,0,131,1,0
HIST-00342,COMPETITIVE_LANDSCAPE,2,0,US-West,0.234,0,183,1,0,249,0,0
HIST-00343,UNMET_NEED,3,0,APAC,0.186,4,47,1,0,304,0,0
HIST-00344,DATA_GAP_EVIDENCE_NEED,3,0,APAC,0.24,2,163,-1,0,270,1,1
HIST-00345,EFFICACY_REAL_WORLD,3,0,US-East,0.583,7,19,-1,0,262,0,0
HIST-00346,UNMET_NEED,2,0,EMEA,0.133,0,216,-1,0,201,1,0
HIST-00347,PATIENT_EXPERIENCE_ADHERENCE,1,0,APAC,0.291,0,198,0,0,152,1,0
HIST-00348,CLINICAL_TRIAL_EXPERIENCE,3,1,EMEA,0.304,2,211,-1,0,201,0,0
HIST-00349,DATA_GAP_EVIDENCE_NEED,2,0,EMEA,0.175,7,27,0,0,181,1,0
HIST-00350,DIAGNOSTIC_MONITORING,2,0,EMEA,0.245,5,173,1,0,137,1,0
HIST-00351,DIAGNOSTIC_MONITORING,2,0,US-West,0.4,5,229,0,0,207,0,0
HIST-00352,UNMET_NEED,2,0,APAC,0.055,9,351,-1,0,131,0,0
HIST-00353,PATIENT_SELECTION_POSITIONING,3,0,US-Central,0.256,0,211,-1,0,295,0,0
HIST-00354,DOSING_ADMINISTRATION,3,1,EMEA,0.448,0,152,0,1,223,1,0
HIST-00355,CLINICAL_TRIAL_EXPERIENCE,3,0,US-West,0.252,0,36,0,0,203,1,1
HIST-00356,PATIENT_EXPERIENCE_ADHERENCE,3,0,US-Central,0.166,5,342,0,0,308,1,0
HIST-00357,EFFICACY_REAL_WORLD,2,0,US-East,0.356,8,51,1,0,117,0,0
HIST-00358,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-East,0.153,4,216,-1,0,140,0,0
HIST-00359,CLINICAL_TRIAL_EXPERIENCE,1,1,EMEA,0.216,9,353,-1,0,172,0,1
HIST-00360,GUIDELINES_PRACTICE_PATTERNS,3,0,EMEA,0.085,2,347,0,0,150,0,0
HIST-00361,COMPETITIVE_LANDSCAPE,3,0,US-Central,0.29,1,92,1,0,86,0,0
HIST-00362,UNMET_NEED,3,1,US-West,0.359,1,105,-1,0,152,1,0
HIST-00363,UNMET_NEED,2,0,APAC,0.312,4,347,0,0,270,1,0
HIST-00364,UNMET_NEED,3,1,APAC,0.191,5,195,-1,0,172,1,0
HIST-00365,DIAGNOSTIC_MONITORING,3,1,APAC,0.082,1,45,-1,0,131,0,0
HIST-00366,ACCESS_REIMBURSEMENT,1,0,US-West,0.353,4,29,-1,0,259,0,1
HIST-00367,DOSING_ADMINISTRATION,3,1,US-East,0.416,2,173,0,0,251,0,0
HIST-00368,DOSING_ADMINISTRATION,3,0,US-West,0.116,3,77,-1,0,151,1,0
HIST-00369,DOSING_ADMINISTRATION,2,0,US-East,0.102,0,311,-1,0,227,0,0
HIST-00370,EFFICACY_REAL_WORLD,2,1,APAC,0.346,2,14,-1,0,133,0,1
HIST-00371,PATIENT_EXPERIENCE_ADHERENCE,3,0,APAC,0.149,1,280,0,0,134,1,0
HIST-00372,UNMET_NEED,3,1,APAC,0.292,1,306,0,0,181,1,0
HIST-00373,PATIENT_SELECTION_POSITIONING,1,1,US-East,0.621,5,156,0,1,304,0,0
HIST-00374,PATIENT_SELECTION_POSITIONING,2,0,US-Central,0.291,10,93,0,0,299,0,0
HIST-00375,DATA_GAP_EVIDENCE_NEED,2,0,US-Central,0.365,0,23,0,0,254,1,0
HIST-00376,PATIENT_EXPERIENCE_ADHERENCE,3,0,US-West,0.224,6,351,1,0,165,1,0
HIST-00377,COMPETITIVE_LANDSCAPE,3,0,US-East,0.404,4,119,-1,0,145,1,0
HIST-00378,UNMET_NEED,2,0,US-West,0.242,3,26,-1,0,193,1,0
HIST-00379,DOSING_ADMINISTRATION,2,0,EMEA,0.198,1,183,0,0,111,0,0
HIST-00380,PATIENT_EXPERIENCE_ADHERENCE,1,1,EMEA,0.526,5,41,1,0,264,0,0
HIST-00381,CLINICAL_TRIAL_EXPERIENCE,1,0,US-Central,0.185,8,171,-1,0,179,1,0
HIST-00382,PATIENT_EXPERIENCE_ADHERENCE,3,0,EMEA,0.119,3,348,0,0,305,1,0
HIST-00383,SAFETY_TOLERABILITY,3,0,US-West,0.276,3,301,-1,0,112,0,1
HIST-00384,GUIDELINES_PRACTICE_PATTERNS,3,0,US-East,0.334,8,131,1,0,162,0,0
HIST-00385,DIAGNOSTIC_MONITORING,2,0,US-Central,0.19,7,126,0,0,219,1,0
HIST-00386,COMPETITIVE_LANDSCAPE,2,0,EMEA,0.096,8,129,1,0,222,1,0
HIST-00387,GUIDELINES_PRACTICE_PATTERNS,2,0,APAC,0.152,0,104,1,0,126,0,1
HIST-00388,GUIDELINES_PRACTICE_PATTERNS,1,1,EMEA,0.675,4,280,-1,0,182,1,0
HIST-00389,COMPETITIVE_LANDSCAPE,1,1,US-West,0.281,0,124,-1,0,177,1,0
HIST-00390,DIAGNOSTIC_MONITORING,2,1,US-East,0.092,1,267,0,0,212,1,0
HIST-00391,PATIENT_SELECTION_POSITIONING,2,0,APAC,0.591,8,286,-1,0,178,0,0
HIST-00392,COMPETITIVE_LANDSCAPE,1,0,APAC,0.096,2,13,0,0,201,0,0
HIST-00393,SAFETY_TOLERABILITY,1,0,US-Central,0.184,7,346,0,0,288,0,0
HIST-00394,DATA_GAP_EVIDENCE_NEED,3,1,US-East,0.291,4,371,0,0,130,0,0
HIST-00395,DIAGNOSTIC_MONITORING,1,1,APAC,0.214,0,377,0,0,82,1,0
HIST-00396,PATIENT_SELECTION_POSITIONING,3,0,US-West,0.156,4,276,-1,0,181,0,0
HIST-00397,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-Central,0.386,4,11,-1,0,196,1,0
HIST-00398,ACCESS_REIMBURSEMENT,1,0,APAC,0.341,0,47,0,0,122,0,0
HIST-00399,PATIENT_EXPERIENCE_ADHERENCE,1,0,US-East,0.583,9,398,1,0,206,1,1
HIST-00400,DOSING_ADMINISTRATION,3,0,US-East,0.228,11,27,0,0,63,1,0
HIST-00401,UNMET_NEED,3,0,US-Central,0.189,0,303,-1,0,276,0,0
HIST-00402,DOSING_ADMINISTRATION,3,0,US-East,0.278,1,53,0,0,236,0,0
HIST-00403,DATA_GAP_EVIDENCE_NEED,2,0,US-East,0.459,0,103,-1,0,272,0,0
HIST-00404,DATA_GAP_EVIDENCE_NEED,3,0,US-West,0.104,7,243,-1,0,163,1,0
HIST-00405,CLINICAL_TRIAL_EXPERIENCE,1,0,US-Central,0.336,3,347,-1,1,282,0,1
HIST-00406,CLINICAL_TRIAL_EXPERIENCE,2,1,EMEA,0.07,2,327,1,0,59,1,0
HIST-00407,GUIDELINES_PRACTICE_PATTERNS,3,1,EMEA,0.33,6,106,1,0,260,0,0
HIST-00408,GUIDELINES_PRACTICE_PATTERNS,1,1,APAC,0.246,11,260,0,0,82,1,0
HIST-00409,SAFETY_TOLERABILITY,3,1,US-East,0.24,3,336,0,0,383,0,0
HIST-00410,DOSING_ADMINISTRATION,2,0,US-Central,0.159,2,252,0,0,149,0,0
HIST-00411,EFFICACY_REAL_WORLD,1,0,APAC,0.425,5,75,1,0,218,0,1
HIST-00412,COMPETITIVE_LANDSCAPE,1,0,EMEA,0.188,1,399,0,0,187,0,0
HIST-00413,SAFETY_TOLERABILITY,1,1,US-East,0.29,7,150,0,0,166,1,1
HIST-00414,EFFICACY_REAL_WORLD,2,1,APAC,0.59,9,50,-1,1,148,0,1
HIST-00415,CLINICAL_TRIAL_EXPERIENCE,2,0,US-West,0.31,2,274,-1,1,246,1,0
HIST-00416,SAFETY_TOLERABILITY,3,1,EMEA,0.3,5,235,1,0,67,0,0
HIST-00417,DIAGNOSTIC_MONITORING,2,0,US-West,0.589,5,81,-1,0,209,0,0
HIST-00418,SAFETY_TOLERABILITY,1,1,US-Central,0.186,5,144,-1,0,224,1,0
HIST-00419,PATIENT_SELECTION_POSITIONING,1,1,EMEA,0.142,9,172,-1,0,237,0,1
HIST-00420,SAFETY_TOLERABILITY,2,0,US-East,0.303,3,54,-1,0,246,1,1
HIST-00421,DIAGNOSTIC_MONITORING,2,0,US-East,0.07,2,120,-1,0,183,0,0
HIST-00422,COMPETITIVE_LANDSCAPE,2,0,APAC,0.307,9,210,0,0,60,1,0
HIST-00423,EFFICACY_REAL_WORLD,2,0,APAC,0.142,0,66,-1,0,194,0,0
HIST-00424,SAFETY_TOLERABILITY,1,1,EMEA,0.303,6,23,-1,0,131,0,1
HIST-00425,DOSING_ADMINISTRATION,1,1,EMEA,0.367,1,93,-1,0,212,1,1
HIST-00426,UNMET_NEED,3,0,US-East,0.273,3,15,-1,0,201,0,0
HIST-00427,SAFETY_TOLERABILITY,3,0,US-East,0.029,2,106,-1,0,185,0,0
HIST-00428,CLINICAL_TRIAL_EXPERIENCE,1,1,US-East,0.236,7,224,1,0,154,0,0
HIST-00429,PATIENT_SELECTION_POSITIONING,3,0,US-East,0.435,1,282,0,0,217,0,0
HIST-00430,DATA_GAP_EVIDENCE_NEED,3,0,US-Central,0.578,3,286,-1,0,229,0,0
HIST-00431,UNMET_NEED,1,0,EMEA,0.148,4,115,1,0,265,0,0
HIST-00432,SAFETY_TOLERABILITY,1,0,US-East,0.489,9,145,0,0,223,0,1
HIST-00433,SAFETY_TOLERABILITY,1,0,US-East,0.024,1,90,1,1,139,1,0
HIST-00434,PATIENT_SELECTION_POSITIONING,3,0,US-Central,0.33,9,347,0,0,313,0,0
HIST-00435,PATIENT_SELECTION_POSITIONING,2,0,US-West,0.841,2,175,0,0,69,1,0
HIST-00436,CLINICAL_TRIAL_EXPERIENCE,3,0,EMEA,0.237,2,4,-1,0,289,0,0
HIST-00437,GUIDELINES_PRACTICE_PATTERNS,3,0,EMEA,0.148,0,113,-1,1,190,1,0
HIST-00438,DIAGNOSTIC_MONITORING,1,1,US-Central,0.335,2,366,0,0,237,0,0
HIST-00439,CLINICAL_TRIAL_EXPERIENCE,2,1,US-Central,0.441,8,391,0,0,146,1,0
HIST-00440,SAFETY_TOLERABILITY,3,0,US-West,0.319,0,57,0,0,160,1,0
HIST-00441,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-West,0.033,4,137,-1,0,213,0,0
HIST-00442,CLINICAL_TRIAL_EXPERIENCE,1,0,APAC,0.481,5,153,0,0,189,0,0
HIST-00443,EFFICACY_REAL_WORLD,3,0,US-West,0.514,0,327,0,0,111,1,0
HIST-00444,GUIDELINES_PRACTICE_PATTERNS,3,0,APAC,0.173,1,245,0,0,233,1,0
HIST-00445,EFFICACY_REAL_WORLD,3,0,US-West,0.404,3,153,1,0,265,1,0
HIST-00446,DATA_GAP_EVIDENCE_NEED,2,0,US-West,0.316,11,361,1,0,129,0,0
HIST-00447,COMPETITIVE_LANDSCAPE,2,0,EMEA,0.382,2,354,0,0,201,1,0
HIST-00448,SAFETY_TOLERABILITY,2,1,US-East,0.366,7,314,-1,0,256,1,0
HIST-00449,ACCESS_REIMBURSEMENT,2,0,APAC,0.156,0,358,0,0,227,0,0
HIST-00450,CLINICAL_TRIAL_EXPERIENCE,2,0,US-West,0.425,3,249,0,0,203,1,0
HIST-00451,DATA_GAP_EVIDENCE_NEED,2,0,US-East,0.435,1,208,1,0,261,0,0
HIST-00452,PATIENT_SELECTION_POSITIONING,3,0,APAC,0.21,5,81,0,0,165,1,0
HIST-00453,GUIDELINES_PRACTICE_PATTERNS,2,0,US-West,0.102,6,81,0,0,186,1,0
HIST-00454,GUIDELINES_PRACTICE_PATTERNS,2,0,US-West,0.218,0,117,-1,0,321,0,0
HIST-00455,DATA_GAP_EVIDENCE_NEED,2,0,APAC,0.261,7,67,1,1,307,1,1
HIST-00456,PATIENT_EXPERIENCE_ADHERENCE,3,0,US-West,0.171,4,116,-1,0,168,0,0
HIST-00457,GUIDELINES_PRACTICE_PATTERNS,2,0,US-East,0.382,4,60,0,0,243,1,0
HIST-00458,DATA_GAP_EVIDENCE_NEED,2,0,EMEA,0.392,7,210,0,0,240,1,0
HIST-00459,GUIDELINES_PRACTICE_PATTERNS,3,0,US-East,0.777,4,82,-1,0,301,1,1
HIST-00460,CLINICAL_TRIAL_EXPERIENCE,3,0,US-Central,0.241,9,88,0,0,192,1,0
HIST-00461,COMPETITIVE_LANDSCAPE,2,1,US-West,0.562,10,366,0,1,258,0,1
HIST-00462,UNMET_NEED,1,0,EMEA,0.319,2,95,1,0,122,1,0
HIST-00463,COMPETITIVE_LANDSCAPE,3,0,APAC,0.033,1,173,-1,0,184,1,0
HIST-00464,ACCESS_REIMBURSEMENT,2,0,US-East,0.024,0,109,0,0,242,1,0
HIST-00465,GUIDELINES_PRACTICE_PATTERNS,2,0,EMEA,0.353,4,305,0,0,125,0,0
HIST-00466,COMPETITIVE_LANDSCAPE,1,1,EMEA,0.542,2,54,0,0,246,0,0
HIST-00467,CLINICAL_TRIAL_EXPERIENCE,1,1,US-West,0.421,1,93,0,1,246,1,0
HIST-00468,PATIENT_EXPERIENCE_ADHERENCE,2,0,EMEA,0.428,1,287,-1,0,282,1,0
HIST-00469,CLINICAL_TRIAL_EXPERIENCE,2,0,US-Central,0.192,2,258,1,0,170,1,0
HIST-00470,SAFETY_TOLERABILITY,3,0,EMEA,0.415,6,209,1,0,248,0,0
HIST-00471,DOSING_ADMINISTRATION,2,0,US-East,0.222,8,33,-1,0,192,0,0
HIST-00472,ACCESS_REIMBURSEMENT,3,0,APAC,0.067,7,193,0,0,144,0,0
HIST-00473,CLINICAL_TRIAL_EXPERIENCE,2,0,US-Central,0.235,1,203,-1,0,181,1,0
HIST-00474,GUIDELINES_PRACTICE_PATTERNS,3,0,APAC,0.136,4,197,-1,0,316,0,0
HIST-00475,ACCESS_REIMBURSEMENT,2,0,US-West,0.139,1,42,0,0,192,0,0
HIST-00476,SAFETY_TOLERABILITY,2,1,EMEA,0.506,1,150,-1,0,239,1,0
HIST-00477,PATIENT_SELECTION_POSITIONING,1,1,US-East,0.795,1,256,-1,0,275,0,0
HIST-00478,SAFETY_TOLERABILITY,2,0,EMEA,0.28,1,301,-1,0,237,1,0
HIST-00479,DOSING_ADMINISTRATION,2,0,EMEA,0.75,0,296,1,0,161,0,0
HIST-00480,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-Central,0.162,1,48,-1,0,104,0,0
HIST-00481,SAFETY_TOLERABILITY,2,0,APAC,0.572,0,175,0,1,289,0,1
HIST-00482,EFFICACY_REAL_WORLD,3,1,US-East,0.217,5,251,0,0,149,0,1
HIST-00483,EFFICACY_REAL_WORLD,2,0,US-Central,0.246,2,169,-1,0,197,1,0
HIST-00484,SAFETY_TOLERABILITY,2,0,US-Central,0.256,1,74,1,0,295,1,0
HIST-00485,COMPETITIVE_LANDSCAPE,3,0,APAC,0.052,2,328,1,0,61,1,0
HIST-00486,UNMET_NEED,2,0,US-East,0.067,2,257,0,0,190,1,0
HIST-00487,ACCESS_REIMBURSEMENT,3,0,EMEA,0.483,10,101,0,0,159,0,1
HIST-00488,CLINICAL_TRIAL_EXPERIENCE,2,0,US-Central,0.181,11,156,-1,1,145,0,1
HIST-00489,COMPETITIVE_LANDSCAPE,3,0,EMEA,0.309,6,50,1,0,216,1,0
HIST-00490,ACCESS_REIMBURSEMENT,1,1,EMEA,0.241,4,351,1,0,301,0,0
HIST-00491,EFFICACY_REAL_WORLD,3,0,US-Central,0.269,0,355,1,0,46,1,0
HIST-00492,DATA_GAP_EVIDENCE_NEED,2,1,APAC,0.488,5,374,0,0,124,1,0
HIST-00493,DOSING_ADMINISTRATION,2,0,US-Central,0.218,0,176,-1,0,234,1,1
HIST-00494,GUIDELINES_PRACTICE_PATTERNS,1,1,US-West,0.738,11,211,0,0,179,1,1
HIST-00495,COMPETITIVE_LANDSCAPE,1,1,US-East,0.51,5,162,0,1,195,0,1
HIST-00496,GUIDELINES_PRACTICE_PATTERNS,2,1,APAC,0.139,8,321,0,0,292,0,0
HIST-00497,GUIDELINES_PRACTICE_PATTERNS,2,0,US-West,0.321,7,330,-1,0,277,0,0
HIST-00498,UNMET_NEED,3,1,US-West,0.534,2,268,0,0,197,1,1
HIST-00499,DOSING_ADMINISTRATION,2,0,EMEA,0.262,7,150,0,0,49,1,0
HIST-00500,PATIENT_EXPERIENCE_ADHERENCE,2,0,EMEA,0.419,1,116,0,0,162,0,0
HIST-00501,CLINICAL_TRIAL_EXPERIENCE,3,1,EMEA,0.266,6,342,1,0,218,0,0
HIST-00502,PATIENT_EXPERIENCE_ADHERENCE,3,0,US-Central,0.321,2,149,-1,0,217,1,1
HIST-00503,CLINICAL_TRIAL_EXPERIENCE,2,0,EMEA,0.263,2,163,1,0,189,1,0
HIST-00504,PATIENT_EXPERIENCE_ADHERENCE,3,0,APAC,0.281,2,306,1,0,165,1,0
HIST-00505,GUIDELINES_PRACTICE_PATTERNS,1,1,APAC,0.358,1,70,0,0,323,1,0
HIST-00506,DATA_GAP_EVIDENCE_NEED,2,0,US-Central,0.288,0,106,0,0,310,0,0
HIST-00507,DATA_GAP_EVIDENCE_NEED,2,0,APAC,0.358,4,183,-1,0,167,0,0
HIST-00508,DATA_GAP_EVIDENCE_NEED,2,0,EMEA,0.344,2,121,1,0,212,1,0
HIST-00509,ACCESS_REIMBURSEMENT,2,0,APAC,0.667,3,207,1,0,247,0,0
HIST-00510,UNMET_NEED,3,0,EMEA,0.319,1,281,0,0,263,0,0
HIST-00511,GUIDELINES_PRACTICE_PATTERNS,2,0,US-East,0.264,6,255,0,0,168,1,0
HIST-00512,DOSING_ADMINISTRATION,2,0,EMEA,0.024,0,317,0,0,171,1,0
HIST-00513,PATIENT_SELECTION_POSITIONING,2,0,US-West,0.039,0,386,0,0,240,0,0
HIST-00514,PATIENT_EXPERIENCE_ADHERENCE,3,0,US-West,0.316,4,246,0,0,123,1,1
HIST-00515,COMPETITIVE_LANDSCAPE,2,0,US-West,0.349,4,68,0,0,209,0,0
HIST-00516,DATA_GAP_EVIDENCE_NEED,3,0,APAC,0.363,5,208,1,0,397,0,0
HIST-00517,COMPETITIVE_LANDSCAPE,2,0,US-East,0.443,11,364,-1,0,154,0,0
HIST-00518,DIAGNOSTIC_MONITORING,2,1,EMEA,0.383,1,243,-1,0,302,0,0
HIST-00519,PATIENT_EXPERIENCE_ADHERENCE,2,0,US-Central,0.337,11,195,0,0,228,1,1
HIST-00520,PATIENT_SELECTION_POSITIONING,2,1,APAC,0.376,3,353,0,0,240,0,0
HIST-00521,DATA_GAP_EVIDENCE_NEED,2,1,APAC,0.507,8,371,-1,0,259,1,1
HIST-00522,UNMET_NEED,3,0,US-West,0.3,10,368,0,0,233,1,1
HIST-00523,DOSING_ADMINISTRATION,2,0,EMEA,0.388,0,88,0,0,257,0,0
HIST-00524,PATIENT_EXPERIENCE_ADHERENCE,3,0,US-East,0.549,2,218,1,0,125,1,1
HIST-00525,EFFICACY_REAL_WORLD,1,1,US-West,0.373,7,357,0,0,181,1,0
HIST-00526,PATIENT_SELECTION_POSITIONING,2,0,EMEA,0.235,2,199,-1,0,235,0,0
HIST-00527,PATIENT_SELECTION_POSITIONING,3,0,US-Central,0.158,0,215,0,0,167,1,0
HIST-00528,DOSING_ADMINISTRATION,1,1,US-West,0.344,5,279,0,0,252,1,0
HIST-00529,DATA_GAP_EVIDENCE_NEED,3,0,EMEA,0.053,3,167,0,0,146,0,0
HIST-00530,UNMET_NEED,1,1,US-West,0.446,3,118,-1,0,156,0,0
HIST-00531,GUIDELINES_PRACTICE_PATTERNS,2,0,US-Central,0.401,1,375,0,0,151,0,0
HIST-00532,GUIDELINES_PRACTICE_PATTERNS,3,0,US-West,0.14,4,196,-1,0,88,1,0
HIST-00533,DATA_GAP_EVIDENCE_NEED,2,0,US-West,0.533,9,152,-1,0,161,0,1
HIST-00534,DOSING_ADMINISTRATION,3,0,US-East,0.413,2,313,-1,0,264,0,0
HIST-00535,CLINICAL_TRIAL_EXPERIENCE,2,0,US-West,0.134,2,261,0,0,222,0,0
HIST-00536,ACCESS_REIMBURSEMENT,1,1,US-East,0.213,0,77,-1,0,100,0,0
HIST-00537,GUIDELINES_PRACTICE_PATTERNS,2,1,APAC,0.591,0,314,0,0,62,1,0
